OID_,Shape_Length,Shape_Area,Park Majority,Impervious_majority,Water_majority,Low_permeability,elevation_min
210,123.6374105,655.6735907,0,1,1,1,-0.589999974
211,2000,250000,0,1,0,1,17.92590714
212,2000,250000,0,1,1,1,24.09409714
213,1729.288714,143216.3284,0,1,1,1,45.21413803
214,2000,250000,0,1,1,1,15.78892994
215,2000,250000,0,1,1,1,10.60927105
216,2000,250000,0,1,1,1,48.96678162
217,2000,250000,0,1,1,1,28.71662712
218,2000,250000,0,1,1,1,57.438694
219,2000,250000,0,1,0,1,100.5819016
220,132.7364303,755.7338605,0,1,1,1,14.85295677
221,2000,250000,0,1,1,1,27.06415176
222,2000,250000,0,1,1,1,12.05668354
223,2000,250000,0,1,1,1,5.553586006
224,2000,250000,0,1,1,1,35.13717651
225,2000,250000,0,1,1,1,0
226,2000,250000,0,1,,1,88.28673553
227,2000,250000,0,1,,1,32.36508179
228,2000,250000,0,1,,1,59.21130371
229,1726.704463,141167.8506,0,1,,1,22.75237846
230,2000,250000,0,1,,1,20.7913723
231,2000,250000,0,1,,1,65.94528961
232,122.4671587,643.3212501,0,1,,0,17.46768951
233,2000,250000,0,1,,1,23.70387268
234,2000,250000,0,1,,1,-0.519999981
235,2000,250000,0,1,,0,9.241716385
236,1729.352181,143266.5695,0,1,,1,70.770401
237,2000,250000,0,1,,1,-0.680000007
238,2000,250000,0,1,,1,66.61538696
239,2000,250000,0,1,,1,1.216449976
240,2000,250000,0,1,,1,12.72643661
241,85.982381,317.1077286,0,1,,1,25.9738884
242,2000,250000,0,1,,1,-0.589999974
243,2000,250000,0,1,,1,72.39555359
244,2000,250000,0,1,,1,76.591362
245,2000,250000,0,1,,1,44.30607605
246,2000,250000,0,1,,1,1.871728182
247,2000,250000,0,1,,0,54.43520737
248,2000,250000,0,1,,1,14.12832451
249,624.4318492,9877.606879,0,1,,1,-0.680000007
250,2000,250000,0,1,,0,22.87225342
251,2000,250000,0,1,,1,2.26467824
252,2000,250000,0,1,,1,0
253,2000,250000,0,1,,1,18.54433632
254,2000,250000,0,1,,1,66.2518692
255,2000,250000,0,1,,1,0
256,2000,250000,0,1,,1,80.69122314
257,2000,250000,0,1,,1,62.88254547
258,2000,250000,0,1,,1,89.11204529
259,2000,250000,0,1,,1,85.2881546
260,2000,250000,0,1,,1,3.731355906
261,1959.486748,242173.582,0,1,,1,48.58390808
262,2000,250000,0,1,,1,24.67703438
263,2000,250000,0,1,,1,45.5331459
